subscription_id,customer_id,customer_reference,Plan,plan_id,Timestamp,timestamp
4193990,4037820,6849,Professional Pinterest Analytics,3319112,11/12/2013 10:26AM EST,1384214400
4192133,4036324,2965,Lite Pinterest Analytics,3319111,11/12/2013 01:24AM EST,1384214400
4190001,4034318,6814,Lite Pinterest Analytics,3319111,11/11/2013 05:10PM EST,1384128000
4189703,4033989,0,Professional Pinterest Analytics,3319112,11/11/2013 04:27PM EST,1384128000
4187837,4032090,4918,Lite Pinterest Analytics,3319111,11/11/2013 11:17AM EST,1384128000
4171512,4019627,0,Lite Pinterest Analytics,3319111,11/08/2013 05:23PM EST,1383868800
4171509,4019626,2821,Professional Pinterest Analytics,3319112,11/08/2013 05:23PM EST,1383868800
4170202,4018534,6695,Professional Pinterest Analytics,3319112,11/08/2013 01:18PM EST,1383868800
4169378,4017827,6357,Lite Pinterest Analytics,3319111,11/08/2013 10:05AM EST,1383868800
4166394,4015464,6660,Professional Pinterest Analytics,3319112,11/07/2013 09:35PM EST,1383782400
4166171,4015300,6501,Lite Pinterest Analytics,3319111,11/07/2013 08:46PM EST,1383782400
4165296,4014611,1536,Professional Pinterest Analytics,3319112,11/07/2013 06:04PM EST,1383782400
4163410,4013017,4290,Lite Pinterest Analytics,3319111,11/07/2013 01:01PM EST,1383782400
4163327,4012934,6189,Professional Pinterest Analytics,3319112,11/07/2013 12:45PM EST,1383782400
4155988,4006616,0,Lite Pinterest Analytics,3319111,11/06/2013 04:09PM EST,1383696000
4155498,4006199,6550,Professional Pinterest Analytics,3319112,11/06/2013 02:54PM EST,1383696000
4155354,4006084,5647,Lite Pinterest Analytics,3319111,11/06/2013 02:26PM EST,1383696000
4152169,4003418,4264,Professional Pinterest Analytics,3319112,11/05/2013 11:57PM EST,1383609600
4150000,4001597,4195,Lite Pinterest Analytics,3319111,11/05/2013 05:12PM EST,1383609600
4148121,3999863,6421,Lite Pinterest Analytics,3319111,11/05/2013 11:07AM EST,1383609600
4146092,3998039,5946,Lite Pinterest Analytics,3319111,11/05/2013 01:12AM EST,1383609600
4144161,3996340,6373,Professional Pinterest Analytics,3319112,11/04/2013 05:40PM EST,1383523200
4143954,3996154,3664,Lite Pinterest Analytics,3319111,11/04/2013 05:06PM EST,1383523200
4143843,3996057,0,Professional Pinterest Analytics,3319112,11/04/2013 04:52PM EST,1383523200
4143574,3995829,6368,Lite Pinterest Analytics,3319111,11/04/2013 04:14PM EST,1383523200
4140820,3993301,5718,Professional Pinterest Analytics,3319112,11/04/2013 04:39AM EST,1383523200
